surgery,age,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,rectal_exam_feces,abdomen,abdomo_appearance,surgical_lesion,abdomo_protein,lesion_1,packed_cell_volume,total_protein,nasogastric_reflux_ph,rectal_temp,pulse,respiratory_rate,outcome
yes,adult,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,absent,distend_large,serosanguious,yes,3.9,2124,60,7.4,4.5,38,66,12,lived
yes,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,none,slight,more_1_liter,None,None,serosanguious,yes,6.6,2206,39,13,7,38,124,88,lived
no,adult,warm,normal,pale_pink,less_3_sec,alert,hypermotile,none,slight,none,normal,None,cloudy,no,3.6,31110,33,6.5,3,38.3,44,24,lived
yes,adult,cool,None,normal_pink,less_3_sec,depressed,normal,none,none,more_1_liter,normal,None,None,yes,1,2208,37,75,2,37.8,60,16,euthanized
yes,adult,cold,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,moderate,none,more_1_liter,absent,distend_large,serosanguious,no,3.3,3205,52,7.4,4.5,38.8,72,24,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,None,None,none,slight,more_1_liter,None,None,None,yes,3.6,2205,72,6.8,5,38.1,96,48,died
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,none,slight,less_1_liter,normal,normal,serosanguious,yes,4.5,7111,35,8.4,7.5,37.5,70,36,died
yes,adult,cool,reduced,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,more_1_liter,absent,distend_large,clear,yes,2,3205,53,53,2,37.8,48,16,euthanized
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,None,distend_small,serosanguious,yes,2,2208,66,65,2,37.5,96,24,euthanized
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,absent,distend_small,serosanguious,yes,3.6,2208,44,6.1,3,38,66,12,lived
yes,young,warm,normal,pale_cyanotic,less_3_sec,depressed,hypermotile,slight,significant,less_1_liter,increased,normal,cloudy,yes,2.6,7111,34,6.1,7,38.7,88,20,died
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,none,more_1_liter,None,distend_large,serosanguious,no,2,3205,57,66,2,38.1,129,48,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,none,absent,None,cloudy,yes,2.8,3207,45,4.6,4.5,37.6,96,48,died
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,decreased,normal,serosanguious,no,3.3,4206,59,8.4,5,39.1,84,48,lived
yes,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,None,None,serosanguious,yes,2,3111,46,5.3,2,38,92,28,lived
yes,adult,cold,reduced,pale_cyanotic,less_3_sec,None,absent,moderate,slight,more_1_liter,decreased,normal,serosanguious,no,3.4,2209,48,7.3,5,39.4,124,32,euthanized
no,young,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,none,absent,distend_small,serosanguious,yes,4.5,2113,47,7.5,7,40.3,114,36,died
no,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,firm,clear,no,3.6,0,49,7,6.5,37.6,48,28,lived
no,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,normal,serosanguious,yes,4.1,0,45,8.6,5.5,38.5,60,40,died
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,None,more_1_liter,absent,distend_small,serosanguious,yes,4.1,2206,73,8.4,5,38,129,96,euthanized
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,absent,distend_large,cloudy,yes,2.6,3209,47,7.5,3.5,38,64,24,died
yes,adult,cold,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,None,None,distend_small,serosanguious,yes,5.3,3209,31.5,6.1,4.5,37.2,96,24,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,less_1_liter,absent,distend_large,clear,yes,2,3205,54,67,2,38.5,80,16,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,absent,distend_large,cloudy,yes,2.6,2124,49,7,7,37.2,68,12,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,none,absent,distend_small,serosanguious,yes,3.4,2209,48,6,3,37.6,92,20,lived
yes,adult,normal,None,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,normal,distend_large,cloudy,yes,3.6,3113,45,7,3,38.2,68,24,lived
yes,adult,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,none,slight,none,absent,distend_large,None,yes,2,3205,39,64,2,38.1,140,68,euthanized
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,more_1_liter,absent,distend_small,serosanguious,yes,2.9,2205,30,6,5,37.1,84,30,died
yes,adult,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,none,slight,more_1_liter,normal,None,clear,yes,3.7,2112,48,7.2,5.7,37.8,52,24,died
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,3.9,2208,55,8.1,1,37.6,84,30,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,none,None,distend_large,serosanguious,no,2,3205,52,65,2,38,130,16,euthanized
yes,adult,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,none,decreased,other,cloudy,yes,3.9,2208,64,8,5.3,39.1,120,18,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,none,less_1_liter,normal,normal,cloudy,no,2,0,57,65,2,38,56,14,lived
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,more_1_liter,None,distend_large,serosanguious,yes,2,3205,60,70,2,37.2,72,30,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,increased,distend_large,cloudy,yes,3.6,2124,44,7.5,3.5,38.1,66,12,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,absent,distend_small,cloudy,yes,1.3,3205,50,85,3.5,38.4,80,35,euthanized
yes,adult,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,decreased,firm,serosanguious,yes,4.5,3205,35,7.5,4.5,37.7,48,16,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,increased,normal,serosanguious,yes,1.4,4206,45,7.5,6,37.7,60,12,died
no,adult,cold,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,more_1_liter,None,distend_small,cloudy,no,3.7,3205,52,6.1,4.5,37.6,108,96,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,slight,none,more_1_liter,absent,distend_large,serosanguious,yes,5.3,4205,44,7.5,5,36.1,88,40,died
yes,adult,cool,normal,pale_pink,less_3_sec,severe_pain,absent,severe,significant,more_1_liter,decreased,None,cloudy,no,1,3111,37,75,2,38,36,16,euthanized
yes,adult,cool,reduced,bright_red,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,None,distend_small,serosanguious,yes,2,2208,69,8.1,5,37.6,96,18,lived
no,adult,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,slight,None,None,None,clear,no,2.5,8300,47,7.2,7.5,38.2,56,40,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,normal,firm,clear,no,5,0,48,7.2,5.7,38.6,52,20,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,none,increased,distend_large,cloudy,yes,3.6,2124,43,6.1,4.4,38.1,52,96,lived
yes,adult,cool,reduced,bright_pink,less_3_sec,depressed,absent,moderate,none,none,absent,distend_large,serosanguious,yes,2,4205,66,64,2,38.2,88,24,euthanized
no,adult,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,absent,distend_large,serosanguious,yes,2,4205,66,75,4,37.7,96,30,died
yes,adult,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,None,serosanguious,yes,2,1400,50,60,2,37.2,80,36,euthanized
yes,adult,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,none,slight,more_1_liter,normal,None,cloudy,yes,2.6,5400,54,7.5,7,38.1,52,24,died
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,absent,normal,serosanguious,yes,2,7209,54,82,2,38.1,80,51,lived
yes,adult,warm,reduced,pale_pink,more_3_sec,mild_pain,absent,moderate,slight,less_1_liter,normal,distend_large,clear,yes,3.9,3115,36,6.6,4.5,38,84,24,lived
yes,young,None,None,None,None,None,None,None,slight,more_1_liter,decreased,None,None,yes,0.1,11124,40,4.5,5,37.5,66,13,lived
no,adult,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,none,more_1_liter,normal,None,clear,no,1,0,42,75,1,37.2,48,24,lived
yes,young,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,slight,none,more_1_liter,absent,None,None,yes,3.2,4207,72,6.2,5,39.2,164,24,died
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,slight,decreased,other,cloudy,no,1.5,3111,49,8.1,7,38.4,48,28,lived
yes,adult,normal,reduced,normal_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,None,distend_small,clear,yes,2,2205,46,81,2,37.8,52,16,lived
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,none,less_1_liter,None,distend_large,serosanguious,yes,2,2209,57,62,2,38.6,120,16,euthanized
no,adult,cold,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,none,none,decreased,distend_large,serosanguious,yes,2,4205,52,6,2,38.1,108,48,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,slight,more_1_liter,decreased,distend_small,serosanguious,yes,2,2209,57,82,2,38,52,24,euthanized
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,absent,distend_large,None,no,2,3205,65,82,2,37.2,88,20,euthanized
yes,adult,normal,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,4.4,3205,46,6.5,6.5,37.8,30,12,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,none,None,None,serosanguious,yes,3,2124,60,7.5,3,39.2,100,24,died
yes,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,none,absent,distend_large,serosanguious,yes,3.4,31110,36,6.6,3,38.2,66,16,died
no,adult,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,None,less_1_liter,normal,None,cloudy,no,5,3111,69,8.2,4,37.5,88,24,lived
yes,young,warm,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,None,cloudy,yes,3.3,2208,54,7.7,5.5,37.2,64,28,died
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,2.3,2209,53,7.3,5.4,38,104,40,died
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,distend_small,serosanguious,yes,3.6,2208,54,6.1,6.5,38.4,52,12,lived
yes,adult,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,normal,distend_small,cloudy,yes,3.2,2208,40,6.5,5.5,38.5,76,28,lived
no,adult,cool,reduced,bright_red,less_3_sec,depressed,absent,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,2,3205,57,66,2,38,146,36,euthanized
yes,young,cool,reduced,bright_red,less_3_sec,depressed,None,slight,slight,none,None,None,cloudy,yes,2.6,1400,37,6.1,4.5,38.2,120,48,died
no,adult,None,None,pale_pink,less_3_sec,None,None,None,none,more_1_liter,normal,None,clear,no,3.6,0,43,6.8,5.5,38.4,52,21,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,decreased,firm,serosanguious,yes,7.4,2207,52,8.2,6,37.2,108,12,euthanized
yes,young,cool,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,none,decreased,None,clear,yes,2.6,9400,47,7.5,7,38.1,124,24,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,absent,distend_small,serosanguious,yes,3.9,4205,57,8.5,2,39.4,100,51,died
yes,adult,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,none,less_1_liter,None,distend_small,serosanguious,yes,2,2206,49,74,2,39.4,48,40,lived
no,adult,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,serosanguious,no,4.3,2124,48,7.7,4,38.4,52,20,lived
no,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,none,absent,distend_large,serosanguious,no,3.6,3113,54,7.4,3,38.3,104,40,died
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,decreased,distend_small,cloudy,yes,2.6,2205,54,7.5,4.5,38.5,88,24,lived
no,adult,normal,None,bright_pink,less_3_sec,depressed,hypermotile,none,slight,less_1_liter,normal,distend_small,cloudy,no,2.6,300,39,6,7,38.7,54,36,lived
no,adult,normal,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,decreased,distend_large,None,no,0.1,0,47,7.2,7.5,38.3,64,30,lived
no,adult,warm,normal,normal_pink,less_3_sec,alert,normal,slight,significant,None,normal,None,clear,no,1,0,46,5.9,7,38.6,50,24,lived
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,decreased,distend_small,serosanguious,yes,4.7,2208,48,7.2,7,37.5,114,36,died
no,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,None,more_1_liter,absent,distend_large,cloudy,yes,3.9,3111,33,3.9,5,38.5,56,24,euthanized
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,None,more_1_liter,absent,distend_small,serosanguious,yes,3.9,2208,65,13,2,39.3,96,28,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,significant,none,absent,distend_large,serosanguious,yes,3.9,3205,53,6.5,3,37.7,76,20,lived
yes,adult,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,slight,more_1_liter,absent,distend_small,serosanguious,yes,2.6,2111,47,7.5,5,39.2,104,51,lived
yes,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,None,decreased,other,clear,yes,3,3111,39,7,3,38.1,54,18,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,absent,distend_large,serosanguious,yes,2.6,2207,65,75,5.5,39.4,104,30,lived
no,adult,None,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,None,None,more_1_liter,None,distend_small,clear,no,2,2209,53,86,2,38.3,52,20,euthanized
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,4.8,2209,68,7.7,4.4,40.3,114,36,died
no,adult,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,significant,none,decreased,distend_large,cloudy,yes,2,3300,44,7.3,2,39.1,72,30,died
yes,adult,warm,normal,pale_pink,less_3_sec,depressed,absent,moderate,none,more_1_liter,None,None,serosanguious,yes,4.4,2205,43,8.1,5.4,38.6,42,20,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,less_1_liter,decreased,distend_large,clear,no,6,3112,41,7.5,7,38,54,24,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,severe,significant,less_1_liter,absent,distend_large,clear,yes,2,2112,75,81,2,37.1,84,40,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,absent,distend_large,serosanguious,yes,3.4,2208,37,4,3,37.9,52,14,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,decreased,distend_small,serosanguious,yes,6.5,2208,69,13,7.5,38.9,96,24,died
no,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,4.1,3205,54,8.1,6.5,38.1,48,40,died
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,less_1_liter,decreased,distend_large,serosanguious,yes,4.3,3205,75,7.2,4,38,84,40,died
yes,adult,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,decreased,distend_small,serosanguious,yes,3.7,2205,36,6.6,5.7,38,88,24,died
yes,adult,cool,None,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,clear,yes,1,2124,41,7,7,37.8,48,32,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,severe,slight,more_1_liter,absent,distend_large,serosanguious,yes,2,2209,52,77,2,38.4,40,16,euthanized
no,adult,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,significant,more_1_liter,absent,distend_large,serosanguious,yes,2,3205,52,75,2,38.3,130,48,euthanized
no,adult,cool,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,none,normal,firm,cloudy,no,4.1,0,47,5.5,7.2,38.3,48,28,lived
yes,adult,cool,reduced,bright_red,less_3_sec,extreme_pain,hypomotile,moderate,significant,none,absent,distend_large,serosanguious,yes,4.1,7111,60,7.2,4.5,38,80,16,died
yes,adult,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_small,serosanguious,yes,2,2208,48,8.6,7.5,38.1,48,12,lived
yes,adult,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,firm,clear,yes,2.6,400,42,7,6.5,38,48,16,lived
yes,adult,normal,normal,bright_pink,less_3_sec,depressed,None,severe,none,more_1_liter,decreased,None,clear,yes,6,3205,64,8,5,38.3,164,84,died
yes,young,normal,reduced,bright_red,less_3_sec,None,hypomotile,moderate,slight,more_1_liter,absent,normal,cloudy,no,2.2,1400,47,8.1,2,39.2,150,51,died
no,adult,None,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,less_1_liter,normal,normal,cloudy,no,7,2300,45,7.5,6.5,37.2,42,16,lived
yes,adult,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,decreased,distend_large,cloudy,no,1,2322,38,75,4.5,38.1,92,36,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,distend_small,cloudy,no,6.6,2205,57,5.7,4.5,39.2,114,48,died
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,3.9,2205,73,11,5,37.1,104,35,died
yes,young,cold,normal,bright_red,more_3_sec,depressed,hypomotile,none,slight,less_1_liter,decreased,None,serosanguious,yes,5.3,7209,40,7.2,5,39.1,164,84,died
no,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,firm,clear,no,1.3,0,49,7.2,5.5,38.7,60,18,lived
yes,adult,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,none,slight,more_1_liter,normal,None,cloudy,yes,2.6,2205,64,9.1,6.5,38.3,104,40,died
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,serosanguious,no,2.6,2209,43,7.4,6.5,37.4,52,12,euthanized
yes,adult,cool,normal,pale_pink,less_3_sec,severe_pain,hypomotile,slight,none,none,normal,distend_large,cloudy,yes,1.6,7111,45,6.5,7,38.3,84,36,died
yes,adult,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,absent,distend_large,serosanguious,yes,2,7209,46,46,1,37.4,84,36,died
yes,adult,None,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,None,yes,5.2,2112,57,8,6.2,38.3,132,28,lived
yes,adult,cool,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,moderate,significant,more_1_liter,absent,distend_small,serosanguious,yes,2,3205,53,6.5,4.5,37.8,96,48,died
yes,adult,normal,reduced,pale_pink,more_3_sec,depressed,absent,moderate,none,more_1_liter,decreased,None,None,yes,5.3,2208,48,7.2,5,39.1,164,84,died
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,none,none,absent,distend_large,serosanguious,yes,6,3133,48,7,4,38.3,66,16,lived
yes,adult,normal,reduced,bright_pink,less_3_sec,extreme_pain,hypomotile,moderate,none,none,absent,None,cloudy,yes,2.9,3205,50,7.6,4.4,38.1,68,12,died
yes,adult,cool,reduced,bright_red,more_3_sec,extreme_pain,absent,severe,slight,more_1_liter,normal,distend_large,serosanguious,yes,3.4,4205,60,6.1,6.5,37.9,88,28,died
yes,adult,cool,reduced,bright_red,less_3_sec,severe_pain,hypomotile,moderate,significant,less_1_liter,absent,distend_large,cloudy,yes,3,2207,60,69,2,38,96,16,euthanized
yes,adult,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,significant,more_1_liter,None,None,clear,yes,5,4205,39,7.5,5.2,38,54,12,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,decreased,distend_large,clear,yes,2,5400,48,7.5,5,37.8,52,24,lived
yes,adult,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,5,2205,65,75,5.5,38.3,100,20,lived
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,normal,distend_small,cloudy,yes,1.5,2112,39,7,5.4,38.3,45,12,lived
yes,adult,normal,reduced,dark_cyanotic,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,None,distend_small,serosanguious,yes,6,2208,49,8.9,5,38.4,96,18,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_large,serosanguious,yes,4.3,2207,48,6.1,4.5,36.5,136,48,died
no,adult,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,normal,clear,yes,3.6,7111,73,8.1,6.5,38.1,76,24,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,normal,none,slight,more_1_liter,normal,None,cloudy,no,2.6,0,48,7.6,5,38,86,28,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,none,slight,more_1_liter,normal,distend_large,serosanguious,no,2.3,4300,52,65,2,37.8,44,20,euthanized
yes,adult,cold,reduced,bright_pink,more_3_sec,severe_pain,absent,moderate,significant,more_1_liter,absent,distend_large,serosanguious,yes,2,3111,53,64,2,38.7,60,32,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,moderate,slight,none,decreased,distend_small,cloudy,yes,2.9,2208,44,4.9,4.4,37.6,84,36,died
no,adult,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,slight,slight,none,normal,distend_small,serosanguious,yes,4.5,3205,57,8.2,7,40.3,114,36,died
yes,young,normal,normal,normal_pink,less_3_sec,mild_pain,normal,slight,significant,less_1_liter,absent,distend_small,cloudy,yes,3.9,2206,39,5.9,6.5,38.4,42,24,died
yes,adult,cool,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,normal,None,serosanguious,yes,4.5,3111,47,8.6,5,39.1,44,30,lived
yes,adult,cool,absent,bright_red,more_3_sec,depressed,hypomotile,none,none,less_1_liter,None,distend_small,serosanguious,yes,2,2113,66,13,2,39.3,100,51,euthanized
yes,adult,normal,reduced,dark_cyanotic,more_3_sec,severe_pain,absent,none,slight,more_1_liter,None,distend_large,serosanguious,yes,3.7,5400,68,7.8,5.7,37.8,86,24,died
yes,adult,normal,normal,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_small,serosanguious,yes,2.6,4205,44,7.6,7,37.7,72,36,died
no,adult,cool,normal,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,None,None,serosanguious,no,3.6,4205,46,7.5,7.5,38,60,40,lived
